id,AthleteName,Nationality,LowHighPD,Gender,OlympicParalympic,WinLoss,Condition
0005_Screenshot_Body_anonymized,Laura Martinez Abelenda,ESP,High,Female,Olympic,Loss,Image_Slider
0009_Screenshot_Body_anonymized,Larissa Pimenta,BRA,High,Female,Olympic,Win,Image_Slider
0041_Screenshot_Body_anonymized,Kayra Ozdemir,TUR,High,Female,Olympic,Loss,Image_Slider
0121_Screenshot_Body_anonymized,Alana Maldanado,BRA,High,Female,Paralympic,Win,Image_Slider
0103_Screenshot_Body_anonymized,Anastasiia Harnyk,UKR,High,Female,Paralympic,Win,Image_Slider
0128_Screenshot_Body_anonymized,Sheyla Hernandez Estupinan,CUB,High,Female,Paralympic,Loss,Image_Slider
0113_Screenshot_Body_anonymized,Yuliia Ivanytska,UKR,High,Female,Paralympic,Loss,Image_Slider
0051_Screenshot_Body_anonymized,Gusmann Kyrgyzbayev,KAZ,High,Male,Olympic,Win,Image_Slider
0157_Screenshot_Body_anonymized,Sherzod Namozov,UZB,High,Male,Paralympic,Win,Image_Slider
0319_Screenshot_Body_anonymized,Andre De Grasse,CAN,Low,Male,Olympic,Win,Image_Slider
0484_Screenshot_Body_anonymized,Imrmgard Bensusan,GER,Low,Female,Paralympic,Win,Image_Slider
0178_Screenshot_Body_anonymized,Chris Skelley,GBR,Low,Male,Paralympic,Win,Image_Slider
0171_Screenshot_Body_anonymized,Davurkhon Karamatov,UZB,High,Male,Paralympic,Win,Image_Slider
0170_Screenshot_Body_anonymized,Helios Latchoumanaya,FRA,High,Male,Paralympic,Loss,Image_Slider
0377_Screenshot_Body_anonymized,Ezra Frech,USA,Low,Male,Paralympic,Win,Image_Slider
0013_Screenshot_Body_anonymized,Christa Deguchi,CAN,Low,Female,Olympic,Win,Image_Slider
0459_Screenshot_Body_anonymized,Kare Adenegan,GBR,Low,Female,Paralympic,Loss,Image_Slider
0441_Screenshot_Body_anonymized,Annette Nneka Echikunwoke,USA,Low,Female,Olympic,Loss,Image_Slider
0464_Screenshot_Body_anonymized,Jaleen Roberts,USA,Low,Female,Paralympic,Win,Image_Slider
0497_Screenshot_Body_anonymized,Kishane Thompson,JAM,High,Male,Olympic,Loss,Image_Slider
0347_Screenshot_Body_anonymized,Bence Halasz,HUN,Low,Male,Olympic,Loss,Image_Slider
0378_Screenshot_Body_anonymized,Daniel Wagner,DEN,Low,Male,Paralympic,Loss,Image_Slider
0384_Screenshot_Body_anonymized,Nate Riech,CAN,Low,Male,Paralympic,Loss,Image_Slider
0199_Screenshot_Body_anonymized,Emily Jade Campbell,GBR,Low,Female,Olympic,Win,Video_Slider
0481_Screenshot_Body_anonymized,Susannah Scaroni,USA,Low,Female,Paralympic,Win,Video_Slider
0471_Screenshot_Body_anonymized,Martina Caironi,ITA,Low,Female,Paralympic,Win,Video_Slider
0092_Screenshot_Body_anonymized,Maria Liana Mutia,USA,Low,Female,Paralympic,Loss,Video_Slider
0075_Screenshot_Body_anonymized,Peter Paltchik,ISR,Low,Male,Olympic,Win,Video_Slider
0355_Screenshot_Body_anonymized,Jake Jarman,GBR,Low,Male,Olympic,Loss,Video_Slider
0368_Screenshot_Body_anonymized,Jaydin Blackwell,USA,Low,Male,Paralympic,Win,Video_Slider
0362_Screenshot_Body_anonymized,Salum Ageze Kashafali,NOR,Low,Male,Paralympic,Loss,Video_Slider
0185_Screenshot_Body_anonymized,Shifang Luo,CHN,High,Female,Olympic,Win,Video_Slider
0125_Screenshot_Body_anonymized,Kelly Victorio,BRA,High,Female,Paralympic,Loss,Video_Slider
0079_Screenshot_Body_anonymized,Teddy Riner,FRA,High,Male,Olympic,Win,Video_Slider
0142_Screenshot_Body_anonymized,Djibrilo Iafa,POR,High,Male,Paralympic,Win,Video_Slider
